구분,세부집단,변수,변수명,변수_설명,가중_값,비가중_값,응답수,추천자_가중,중립자_가중,비추천자_가중,추천자_비가중,중립자_비가중,비추천자_비가중
Total,All,NPS,Q1,NPS (0~10점),30.96,32.79,988,52.41,26.13,21.45,52.33,28.14,19.53
Total,All,Q2_긍정응답률,Q2,상품가격 - 7점척도 ,31.87,33.33,555,,,,,,
Total,All,Q3_긍정응답률,Q3,최소주문금액·배달비 - 7점척도,30.89,32.25,555,,,,,,
Total,All,Q4_긍정응답률,Q4,혜택(할인·이벤트·쿠폰) - 7점척도,51.76,51.89,555,,,,,,
Total,All,Q6_긍정응답률,Q6,상품다양성 - 7점척도 ,53.13,52.61,555,,,,,,
Total,All,Q7_긍정응답률,Q7,상품차별성 - 7점척도 ,44.29,44.5,555,,,,,,
Total,All,Q8_긍정응답률,Q8,상품 품질 - 7점척도 ,58.11,59.46,555,,,,,,
Total,All,Q10_긍정응답률,Q10,배달속도 - 7점척도 ,70.51,72.43,555,,,,,,
Total,All,Q11_긍정응답률,Q11,도착예정시간 준수 - 7점척도 ,72.7,73.87,555,,,,,,
Total,All,Q12_긍정응답률,Q12,포장·배달 상태 - 7점척도 ,74.32,74.77,555,,,,,,
